index,arousal_label,valence_label,subject_id,clip_id,dataset,logistics_noisy,ECG_1,ECG_2,ECG_3,ECG_4,ECG_5,ECG_6,ECG_7,ECG_8,ECG_9,ECG_10,ECG_11,ECG_12,ECG_13,ECG_14,GSR_1,GSR_2,GSR_3,GSR_4,GSR_5,GSR_6,GSR_7,GSR_8,GSR_9,GSR_10,GSR_11,GSR_12,GSR_13,GSR_14,GSR_15,GSR_16,GSR_17,GSR_18,GSR_19,GSR_20,GSR_21,GSR_22,GSR_23,GSR_24,GSR_25,GSR_26,GSR_27,GSR_28,GSR_29,GSR_30,GSR_31,EEG_1,EEG_2,EEG_3,EEG_4,EEG_5,EEG_6,EEG_7,EEG_8,EEG_9,EEG_10,EEG_11,EEG_12,EEG_13,EEG_14,EEG_15,EEG_16,EEG_17,EEG_18,EEG_19,EEG_20,EEG_21,EEG_22,EEG_23,EEG_24,EEG_25,EEG_26,EEG_27,EEG_28,EEG_29,EEG_30,EEG_31,EEG_32,EEG_33,EEG_34,EEG_35,EEG_36,EEG_37,EEG_38,EEG_39,EEG_40,EEG_41,EEG_42,EEG_43,EEG_44,EEG_45,EEG_46,EEG_47,EEG_48,EEG_49,EEG_50,EEG_51,EEG_52,EEG_53,EEG_54,EEG_55,EEG_56,EEG_57,EEG_58,EEG_59,EEG_60,EEG_61,EEG_62,EEG_63,EEG_64,EEG_65,EEG_66,EEG_67,EEG_68,EEG_69,EEG_70,EEG_71,EEG_72,EEG_73,EEG_74,EEG_75,EEG_76,EEG_77,EEG_78,EEG_79,EEG_80,EEG_81,EEG_82,EEG_83,EEG_84,EEG_85,EEG_86,EEG_87,EEG_88,logistics_cv_fold
1,1,-1,0,0,Train,False,-0.735639917,-0.904557451,-0.70028831,-0.673223122,-0.63883586,-0.70028831,-0.9599375840000001,-1.0,-0.883987892,0.5872925920000001,0.265784187,-0.310900365,-0.983612398,-0.505789708,0.06402753,-0.289603714,-0.585281203,0.258156115,-0.577512864,-0.783991652,0.528525158,-0.094481568,-0.328393404,-0.163281161,-0.605412272,-0.308154689,-0.7874890840000001,0.292880413,-0.585166847,-0.538708379,0.910661513,-0.273404268,-0.586688266,-0.27374016,-0.426089736,-0.46146991200000004,-0.41754513600000004,-0.271079775,-0.419966584,-0.45965914399999996,-0.4169099,-0.417421025,-0.247718871,0.318401828,-0.450105701,-0.9806724509999999,-0.140288734,0.12455405,-0.231127542,1.0,0.46926847,-0.700972335,-0.170897845,1.0,0.443553019,1.0,-0.102230666,0.670565515,-0.16947759399999998,-0.169906855,0.659240454,0.402170624,-0.949182946,1.0,0.9353349590000001,0.9396834479999999,0.95783032,0.09243344,0.8850231540000001,0.209752685,-0.170553449,0.400031043,0.22581739,1.0,0.866998536,0.8253842370000001,-1.0,0.79015847,0.220246952,0.38096060600000003,0.339164884,-0.083170301,-0.062506242,0.327899993,0.598332007,0.40042898200000004,1.0,-0.418704609,1.0,0.097888566,-0.314837573,0.195953607,-0.041286727,0.081272442,-0.022105077999999997,-0.360387005,0.753810117,0.8056137409999999,0.070278455,0.7041182909999999,0.985867893,1.0,0.17676832,-0.24167014399999998,0.055392432,0.433183176,0.48203026299999996,0.08784678900000001,0.40352692100000004,0.097492508,0.596795093,-0.328339497,-0.44005252799999994,0.7138534870000001,0.542749919,-0.39657602700000005,-0.101500053,-0.62669651,0.638656943,1.0,0.210361045,0.878458592,0.002134879,-0.008872521999999999,-0.194665566,-0.166665776,-0.193949598,0.422923415,-0.418471273,0.033011987,1.0,0.139734373,1.0,810
2,1,-1,0,1,Train,False,0.886185837,0.410861001,0.292571177,0.739375157,1.0,0.292571177,1.0,0.931118532,1.0,-0.332073792,-0.223438737,1.0,0.934627709,-0.23937625399999998,-1.0,1.0,0.7534435140000001,-0.006995095,-0.769674477,0.5663617470000001,-0.20327890699999998,0.448213255,1.0,0.905474165,0.5592908560000001,0.6741839009999999,0.608708735,-1.0,0.80025089,1.0,0.11105628199999999,1.0,0.55122308,0.505026098,0.962287055,1.0,0.962248202,0.513665563,0.961650815,1.0,0.961809279,0.183665251,0.6242183929999999,-0.563326311,0.38173092299999994,0.142639718,-0.45836694,0.087743216,-0.487364835,-0.0032960690000000004,-0.11011715,0.9247735490000001,-0.546475667,-0.448212585,-0.6860169490000001,-0.5704805470000001,0.826452635,-0.005886345,-0.399613079,-0.16867945199999998,0.126527613,0.850011471,0.779685535,0.5199095539999999,0.9353349590000001,-0.45243639799999996,0.609528385,0.6754745040000001,0.506291947,-0.207859989,-0.18054537399999998,0.40633626,1.0,0.389378946,0.832449752,0.49152095,-0.213467397,1.0,0.211975457,0.018731248,-0.021765392999999997,-0.251733823,0.20260644100000003,0.7394819690000001,-0.913851285,1.0,-0.278676505,0.649469718,-0.020068349,-0.618738043,-0.451079274,0.54696637,-0.065818036,0.36327802299999995,-0.09232121,-0.57372891,1.0,0.418919145,0.685631898,0.336752226,-0.24363099600000002,-0.27625016,-0.563857501,-0.517563287,0.08962638099999999,0.865935207,-0.017240361000000003,0.2377473,-0.426585602,0.104691503,0.18362926,-0.21075871,-0.124254774,0.010900098,-0.361601909,0.729530232,0.208359309,-0.115836555,0.8653213009999999,0.8244375970000001,0.026495843999999998,0.473016165,-0.7761501759999999,-0.47386244299999997,0.7627111120000001,0.298280323,-0.287815587,0.0699122,-0.43363639600000004,0.8806897029999999,0.238039922,0.927773297,0.12519577099999998,755
3,0,1,0,2,Train,False,-1.0,0.11454685699999999,0.429796704,-0.088070686,-1.0,0.429796704,-0.289409659,0.31342653,0.10414917800000001,0.583320715,-0.38674183,-0.71985216,0.330817934,-0.219205395,0.25056190100000003,-1.0,0.337018782,-1.0,1.0,1.0,-0.935082972,-1.0,-0.033433705,-0.9817315879999999,-0.8369348120000001,-0.700504598,1.0,1.0,0.32269372399999996,-0.864244748,-0.6885489490000001,0.265764447,-0.77691764,0.333237403,0.391221272,0.45413272200000004,0.41732708399999996,0.335054646,0.398960441,0.455430703,0.41396569899999996,0.183665251,-0.8165053090000001,-1.0,-0.15195288,-0.291230887,-1.0,-0.717808571,0.574993015,-0.032960695,-0.01863521,0.559704413,0.884296988,0.28522619,-0.355824408,0.294247861,0.731152467,1.0,0.288250749,-0.171855457,0.69515368,0.414440236,-0.8262849870000001,1.0,0.9353349590000001,0.40648939700000003,0.95783032,0.38107347,0.46236614600000003,1.0,-0.157770229,0.7531232409999999,0.030481357999999997,0.402555789,1.0,1.0,-0.146270297,1.0,-0.510017908,-0.682089336,0.3587341,-0.081521943,0.079749344,0.127825421,-0.224185512,0.6719565540000001,1.0,0.483385212,1.0,-0.497015052,-0.417973397,1.0,0.46166070600000003,-0.35583620899999996,-0.162537341,-0.564113549,0.555435581,1.0,0.231229855,1.0,-0.287205624,-0.112841331,-0.336896174,-0.532947381,0.663045033,1.0,-1.0,1.0,-0.426585602,0.702608172,-0.229536574,-0.386670045,-0.35314497200000006,0.846540829,0.453044519,-0.021207273999999998,-0.22427451699999998,-0.150123814,0.55488968,0.8244375970000001,0.00560067,1.0,-0.815390411,-0.616831485,0.687720254,0.164244829,-0.071201766,-0.15235412,0.012967845,0.136079501,1.0,0.278620967,1.0,224
4,1,0,0,3,Train,False,-0.338801915,-1.0,-1.0,-1.0,-0.041501889,-1.0,-0.638829216,-0.270413155,0.721083701,0.525786224,1.0,-0.025038959,0.881985185,0.436382351,1.0,-0.8544127420000001,-0.320308127,-0.331689253,0.527060556,-0.199370506,1.0,-1.0,-0.711961127,-0.019114463,0.793803313,0.514545095,-0.221669361,0.843905385,-0.350318625,0.169846093,1.0,-0.8870262790000001,0.7396065159999999,-0.826326311,-1.0,-1.0,-1.0,-0.8432179479999999,-1.0,-1.0,-1.0,0.7847515270000001,-0.398381958,1.0,-0.551122656,-0.23971668,-0.500012535,-0.513007427,-0.7946183520000001,1.0,0.16432867,0.367915359,0.007948736999999999,-0.9720974240000001,-0.286123337,-1.0,1.0,-1.0,-0.37348479100000004,1.0,-1.0,-1.0,-0.108320112,-1.0,-1.0,0.063543333,-1.0,1.0,-1.0,0.23201135,1.0,-1.0,-1.0,-0.114369278,-1.0,-1.0,0.160718788,-1.0,-0.9392205770000001,-1.0,-0.637506994,-0.517630795,-1.0,1.0,-0.106030148,-0.97946524,-1.0,1.0,-1.0,-0.896993009,-0.8526911540000001,-0.752045478,-0.48130268299999995,-1.0,1.0,-0.11470291199999999,-1.0,-1.0,1.0,-1.0,0.053528594000000006,-0.8736337209999999,-0.40589556200000004,-0.416981349,-0.064426391,0.67778215,-0.386286545,1.0,-0.841641863,0.184001291,-0.642702408,-0.827795905,-0.63079571,-0.271069214,-0.638307789,1.0,-0.943382092,-0.269344935,-1.0,-1.0,-0.9359449459999999,-1.0,-0.731824754,-0.443403311,-0.155753805,-0.416273744,0.658064768,1.0,-0.363163936,0.457902555,-1.0,1.0,-1.0,357
5,1,0,0,4,Train,False,0.890636842,1.0,1.0,1.0,0.746719825,1.0,1.0,0.91718126,0.6641110370000001,0.26676987399999996,-1.0,0.620643109,0.351375625,0.463841457,0.252879755,-0.17020727600000002,1.0,-1.0,-0.22023460600000003,0.49663484799999996,-0.20327890699999998,0.45180428799999994,1.0,1.0,0.9894329140000001,1.0,0.49344807399999996,0.172525226,1.0,1.0,0.11105628199999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.318401828,0.159165678,-0.328744548,0.430334905,0.717006336,0.073413736,-0.092289946,0.835196231,-0.287077431,0.848527672,0.599557094,0.116048474,0.726612065,-0.539020407,0.494168027,0.575666221,-0.15328045199999998,-0.076980663,0.119969542,-1.0,1.0,0.9353349590000001,1.0,0.95783032,-0.803958122,0.7531105859999999,0.218998017,-0.17404324300000001,0.6963762809999999,0.524566615,0.013590473,1.0,0.49152095,0.04797958,0.13623421900000002,0.8527774440000001,1.0,0.6053292920000001,0.003268806,0.318997375,-0.037950653,-1.0,0.81884852,0.46446084200000004,0.37020543100000003,0.702392207,0.762017015,0.839668348,0.864393225,0.35084287399999997,-0.066780488,-0.104023899,-0.9269832809999999,0.52473476,1.0,-0.035953087,1.0,0.902482351,0.6484252660000001,0.10512271599999999,-0.395975095,0.936916628,0.50217263,-0.149300168,-0.001677128,1.0,0.125799822,1.0,1.0,0.730511287,0.152776979,-0.210141207,0.163296011,0.775460405,-0.026968752000000002,0.779090295,0.8244375970000001,0.07645387099999999,0.878458592,0.897954817,1.0,0.8534719820000001,0.154543085,0.058766528,-0.793004101,-1.0,0.537832463,0.238039922,0.16919589399999999,0.575900549,474
6,1,0,0,5,Train,False,-0.726943277,-0.694780024,-1.0,-1.0,-1.0,-1.0,-0.7880501659999999,0.07583680000000001,-0.7867893009999999,-0.6769565359999999,-0.39219566,-0.33771631399999996,-0.303326614,1.0,1.0,-0.716871684,-0.42788528200000003,0.019941801000000002,0.798933653,-0.393095456,-0.20327890699999998,-0.7224634190000001,0.017652192,-0.020959991,-0.038664283,-0.28511933,-0.40986670399999997,0.7106509320000001,-0.451788301,-0.607128232,0.11105628199999999,0.055077999,0.064030604,-0.67654319,-0.35230956799999996,-0.219736811,-0.347554608,-0.688356173,-0.352958125,-0.219329597,-0.350340493,-0.417421025,-0.307139489,1.0,-0.551026667,-0.055514363,-0.631968261,-0.549536415,-0.49162364700000005,-0.626253205,-0.65900879,-0.291813636,-0.06358989599999999,-1.0,0.286761967,-1.0,1.0,-1.0,1.0,-0.043023295999999996,-0.573780279,-1.0,0.9198063209999999,-1.0,-1.0,-0.433027531,-1.0,-1.0,-1.0,-1.0,-0.047838473,-1.0,-0.635959221,-0.460461694,-0.98711954,-1.0,0.675757652,-1.0,0.103555842,-1.0,-1.0,1.0,-1.0,-0.540995291,-0.094547244,-1.0,-1.0,0.218526412,-0.742528905,0.724039705,-0.9440813109999999,-1.0,1.0,-1.0,-0.7593744590000001,-0.19105908800000002,-1.0,-0.741164642,-0.032895055,-0.7653459690000001,1.0,-1.0,-1.0,1.0,-1.0,-0.576571562,-0.151217648,-1.0,-0.841641863,0.125410549,-0.642702408,0.339455344,-0.60888674,-1.0,1.0,-1.0,-0.276892144,-0.490076745,-1.0,-1.0,0.135397147,-0.743311116,1.0,-0.825380957,-1.0,1.0,-1.0,-0.793004101,-0.039300816,-1.0,-1.0,0.07622018400000001,-0.776213783,877
7,1,1,0,6,Train,False,0.733782435,0.054163193,-0.255286002,-0.205193404,0.9279863890000001,-0.255286002,-0.508587376,-0.813837384,-0.42400574,0.63366426,-0.838616647,-1.0,-0.36744059700000004,0.36729830799999996,-1.0,0.906025388,0.029172815,0.853899583,-0.672881961,0.152818195,-0.20327890699999998,0.36202847,0.6708882829999999,0.311939216,0.511115147,0.26493798399999996,0.185031497,-0.9272526940000001,0.063638393,-0.150184462,-0.6885489490000001,0.756049153,0.399965653,0.923217725,0.690589745,0.519165691,0.655482441,0.9204772659999999,0.680778164,0.520301026,0.663222601,0.183665251,-0.24870412100000003,0.318401828,-0.072255318,-0.7209062070000001,-0.273585215,0.396402693,0.275539606,-0.65591783,-0.47604491,-1.0,0.347757243,-0.343435617,1.0,-0.246207394,0.283584293,-0.04865577,-1.0,-0.169545752,-1.0,1.0,-0.09778892300000001,-0.838702487,-1.0,0.043190963,-1.0,-0.06406142,1.0,-1.0,-0.13690550099999999,-1.0,0.053462068,1.0,-1.0,-0.843932197,-1.0,-0.8446521579999999,-0.8289303440000001,-0.593072001,0.6853623999999999,-0.103764459,0.810425763,-1.0,0.16863510199999998,-0.703486395,-1.0,-0.028329597,-1.0,-0.560912215,-0.10688970199999999,0.61868417,-0.227177039,0.941389465,-1.0,-0.61647207,-0.124705685,-1.0,0.45797752399999997,-0.7653459690000001,0.328888447,0.135336746,-0.428795059,-0.468353311,0.808539318,0.7028692240000001,-1.0,0.9102176479999999,-0.841641863,0.43753655,-0.642702408,-0.7015071540000001,-0.542112271,0.988800227,0.18743946600000003,0.18874474,-0.943382092,-0.5216098610000001,-0.7681403259999999,-0.717367779,1.0,-1.0,0.7233860790000001,0.341135332,-0.588522515,-0.306928983,0.795253522,0.48175861700000006,-1.0,1.0,-0.664006097,0.3488797,-0.776213783,74
8,0,0,0,7,Train,False,0.363719345,-0.68874299,-1.0,-0.5693653000000001,1.0,-1.0,-0.591025031,-1.0,-0.646372513,0.79862835,-0.561916112,-0.147915189,-0.34351038899999997,-0.397280766,0.693695437,1.0,1.0,-0.14679145300000002,-0.016685638,1.0,-0.935082972,0.53978459,1.0,1.0,0.77335606,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.486777347,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,0.154445057,-0.174495912,-0.223116622,-0.8062140259999999,0.649325691,-0.17110511,-0.016278384,0.8306430140000001,-0.867320456,0.008039981,-0.8947537,1.0,-1.0,0.0,0.0,-1.0,-1.0,-0.10880981,-1.0,-1.0,0.063787017,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-0.11398116,-1.0,-1.0,0.16053324300000002,-1.0,-0.9921410270000001,-1.0,0.0,0.0,-1.0,-1.0,-0.005723201999999999,-1.0,-1.0,0.168678935,-1.0,-0.996413772,-1.0,0.0,0.0,-1.0,-1.0,0.022738205,-1.0,-1.0,-0.070142618,-1.0,0.394964627,-0.769230251,-0.298330427,-0.431336879,0.28647159,0.596249159,-0.510913896,1.0,-0.841641863,0.17988357600000002,-0.642702408,-0.7687843190000001,-0.651822608,0.0,0.0,-1.0,-0.943382092,-0.30087805100000004,-1.0,-1.0,0.081093058,-1.0,-1.0,-0.860887207,0.0,0.0,-1.0,-1.0,0.041209654,-1.0,-1.0,0.074071608,-1.0,1165
9,1,1,0,8,Train,False,-1.0,-1.0,-1.0,-0.9081463759999999,-1.0,-1.0,-1.0,-1.0,-1.0,0.715253485,-1.0,-0.689010417,-1.0,-0.515506699,1.0,-0.314322412,-0.717860623,0.60205006,0.135620233,-0.63980628,-1.0,1.0,-0.008945655,-0.828920267,-0.165973095,-0.156439584,-0.65200113,0.312786503,-0.7347854640000001,-0.8998957790000001,-1.0,0.278166843,-0.15557645,-0.165229945,-0.042888877,0.04356743,-0.019950709,-0.15849879,-0.037208147999999996,0.044363047999999995,-0.023870097000000003,1.0,-0.916573513,0.318401828,-0.518729137,-0.644756891,-0.445572856,0.253316583,1.0,0.17469168300000001,-0.44555093,-0.5152905879999999,1.0,1.0,0.43766466200000004,1.0,0.176194047,0.6801820129999999,0.651270264,-0.160559027,0.37792019,0.009543032,-0.07465654,0.674688141,0.9353349590000001,0.03439302,0.95783032,0.022491076000000002,0.66157875,0.149855235,-0.162333648,0.27392668600000003,0.162620438,-0.700363837,1.0,0.8253842370000001,0.8071173770000001,1.0,-0.306143839,-0.240664637,0.357930029,-0.165890163,0.745764133,0.305034327,0.569203886,0.33588554200000004,1.0,-0.694678665,1.0,-0.16519677900000002,-0.127771523,0.351542604,-0.266151165,0.913188907,-0.33807767,-0.498166867,0.902591019,1.0,0.186376035,1.0,-0.854880682,-0.373729374,1.0,0.43793726200000005,-0.560818656,-0.971692982,0.2046392,0.12115801300000001,1.0,-0.111141661,1.0,-0.413824222,-0.422297397,0.929950945,1.0,-0.612890224,0.09727765099999999,0.946506491,0.478513646,1.0,-1.0,0.878458592,-0.356953154,-0.15707933,-0.21841987100000002,-0.119443527,-0.338358812,0.625578,-0.506476161,0.44528204299999996,0.6890629309999999,0.23397256100000002,1.0,573
10,1,0,0,9,Train,False,1.0,1.0,1.0,1.0,0.909871572,1.0,0.370924669,0.109555511,-0.10112657900000001,-1.0,0.33575330200000003,1.0,1.0,-1.0,-0.520267565,0.191072286,0.5114323829999999,-0.625349747,-0.49353112200000004,-0.13676065699999998,-0.20327890699999998,0.687016933,0.515193311,0.649594907,0.7823007940000001,0.659049636,-0.124530925,-0.192055228,0.5340253979999999,0.5121433089999999,-0.6885489490000001,0.670231955,0.8890992529999999,1.0,0.8516083170000001,0.697804815,0.841892602,1.0,0.84704507,0.69762848,0.8430783140000001,0.183665251,0.190663572,1.0,-0.215828959,0.600999084,0.6340542220000001,-1.0,-1.0,-1.0,0.743714291,-0.49138256,-0.09935921199999999,-1.0,0.47710108100000004,-1.0,-0.8315144309999999,-1.0,0.0,0.0,-1.0,-1.0,-0.10880981,-1.0,-1.0,0.063787017,-1.0,-0.376243683,-1.0,0.0,0.0,-1.0,-1.0,-0.11398116,-1.0,-1.0,0.16053324300000002,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.067428385,-0.860887207,0.0,0.0,-1.0,-1.0,0.041209654,-1.0,-1.0,0.074071608,-1.0,331
